Time,Iterations,Result,Minimum,Maximum,Average,warmUp
0:00:30,27322,949.1126453235804,86.60705926766943,4770.540879631446,918.1691028587188,true
0:01:00,68213,1089.3630945345699,86.60705926766943,159690.32851494383,1140.572781286387,true
0:01:30,119142,2333.512443377321,86.60705926766943,159690.32851494383,1325.9145295657747,true
0:02:00,180333,3071.436514748434,86.60705926766943,176143.7896984066,1504.0974440408859,true
0:02:30,262169,3523.191383795894,86.60705926766943,176143.7896984066,1748.5664879871215,true
0:03:00,340362,2085.6731399518517,86.60705926766943,186521.46178113073,1891.7120821815165,true
0:03:30,414005,2472.3501017841813,86.60705926766943,210952.51388594924,1971.4210671396208,true
0:04:00,496628,2774.7099248876775,86.60705926766943,210952.51388594924,2069.174860846459,true
0:04:30,577000,3473.131467137213,86.60705926766943,210952.51388594924,2137.4931508911677,true
0:05:00,658696,3575.3514555583515,86.60705926766943,210952.51388594924,2195.9892057683087,true
0:05:30,747479,3701.6567332296936,86.60705926766943,210952.51388594924,2265.346575298935,true
0:06:00,833689,4649.753158554072,86.60705926766943,210952.51388594924,2315.950163822304,true
0:06:30,924450,4785.16888583659,86.60705926766943,210952.51388594924,2370.4780568556857,true
0:00:30,88971,3132.029056209398,933.4111283801158,188189.47920443525,2928.4955535666472,false
0:01:00,173810,2148.4437103451,847.9165343975757,201833.72668484066,2876.7569993105913,false
0:01:30,258426,2580.875453084515,811.3493647836291,201833.72668484066,2857.6620123567905,false
0:02:00,340737,3320.7315996767734,729.1516972835925,203872.07435078637,2826.97354975817,false
0:02:30,425189,3369.423906682592,729.1516972835925,213599.75393308347,2824.5292106479883,false
0:03:00,510466,854.0680024772299,729.1516972835925,213599.75393308347,2828.0066325555154,false
0:03:30,596319,1685.7163382746082,649.2166760418243,231015.70675790246,2831.493013538732,false
0:04:00,682205,2449.391989467614,635.3992176113397,246697.54223461924,2836.093901652042,false
0:04:30,770343,2855.13189257985,635.3992176113397,246697.54223461924,2847.134092940956,false
0:05:00,856932,3904.10086364307,635.3992176113397,246697.54223461924,2850.824313326741,false
0:05:31,945947,3475.889970054165,635.3992176113397,246697.54223461924,2859.9709763651886,false
